date,cash,position_value,mkt_value
2024-05-02,100000.0,0.0,100000.0
2024-05-03,100000.0,0.0,100000.0
2024-05-06,100000.0,0.0,100000.0
2024-05-07,100000.0,0.0,100000.0
2024-05-08,100000.0,0.0,100000.0
2024-05-09,100000.0,0.0,100000.0
2024-05-10,100000.0,0.0,100000.0
2024-05-13,100000.0,0.0,100000.0
2024-05-14,100000.0,0.0,100000.0
2024-05-15,100000.0,0.0,100000.0
2024-05-16,100000.0,0.0,100000.0
2024-05-17,100000.0,0.0,100000.0
2024-05-20,100000.0,0.0,100000.0
2024-05-21,100000.0,0.0,100000.0
2024-05-22,100000.0,0.0,100000.0
2024-05-23,100000.0,0.0,100000.0
2024-05-24,100000.0,0.0,100000.0
2024-05-28,100000.0,0.0,100000.0
2024-05-29,100000.0,0.0,100000.0
2024-05-30,100000.0,0.0,100000.0
2024-05-31,100000.0,0.0,100000.0
2024-06-03,100000.0,0.0,100000.0
2024-06-04,100000.0,0.0,100000.0
2024-06-05,100000.0,0.0,100000.0
2024-06-06,100000.0,0.0,100000.0
2024-06-07,100000.0,0.0,100000.0
2024-06-10,100000.0,0.0,100000.0
2024-06-11,100000.0,0.0,100000.0
2024-06-12,100000.0,0.0,100000.0
2024-06-13,100000.0,0.0,100000.0
2024-06-14,100000.0,0.0,100000.0
2024-06-17,100000.0,0.0,100000.0
2024-06-18,100000.0,0.0,100000.0
2024-06-20,100000.0,0.0,100000.0
2024-06-21,100000.0,0.0,100000.0
2024-06-24,100000.0,0.0,100000.0
2024-06-25,100000.0,0.0,100000.0
2024-06-26,100000.0,0.0,100000.0
2024-06-27,100000.0,0.0,100000.0
2024-06-28,100000.0,0.0,100000.0
2024-07-01,100000.0,0.0,100000.0
2024-07-02,100000.0,0.0,100000.0
2024-07-03,100000.0,0.0,100000.0
2024-07-05,100000.0,0.0,100000.0
2024-07-08,100000.0,0.0,100000.0
2024-07-09,100000.0,0.0,100000.0
2024-07-10,100000.0,0.0,100000.0
2024-07-11,100000.0,0.0,100000.0
2024-07-12,100000.0,0.0,100000.0
2024-07-15,100000.0,0.0,100000.0
2024-07-16,100000.0,0.0,100000.0
2024-07-17,100000.0,0.0,100000.0
2024-07-18,100000.0,0.0,100000.0
2024-07-19,100000.0,0.0,100000.0
2024-07-22,100000.0,0.0,100000.0
2024-07-23,100000.0,0.0,100000.0
2024-07-24,100000.0,0.0,100000.0
2024-07-25,100000.0,0.0,100000.0
2024-07-26,100000.0,0.0,100000.0
2024-07-29,100000.0,0.0,100000.0
2024-07-30,100000.0,0.0,100000.0
2024-07-31,100000.0,0.0,100000.0
2024-08-01,100000.0,0.0,100000.0
2024-08-02,100000.0,0.0,100000.0
2024-08-05,100000.0,0.0,100000.0
2024-08-06,100000.0,0.0,100000.0
2024-08-07,100000.0,0.0,100000.0
2024-08-08,100000.0,0.0,100000.0
2024-08-09,100000.0,0.0,100000.0
2024-08-12,100000.0,0.0,100000.0
2024-08-13,100000.0,0.0,100000.0
2024-08-14,100000.0,0.0,100000.0
2024-08-15,100000.0,0.0,100000.0
2024-08-16,100000.0,0.0,100000.0
2024-08-19,100000.0,0.0,100000.0
2024-08-20,100000.0,0.0,100000.0
2024-08-21,100000.0,0.0,100000.0
2024-08-22,100000.0,0.0,100000.0
2024-08-23,100000.0,0.0,100000.0
2024-08-26,100000.0,0.0,100000.0
2024-08-27,100000.0,0.0,100000.0
2024-08-28,100000.0,0.0,100000.0
2024-08-29,100000.0,0.0,100000.0
2024-08-30,100000.0,0.0,100000.0
2024-09-03,95478.0,5026.0,100504.0
2024-09-04,95478.0,5123.0,100601.0
2024-09-05,95478.0,4932.0,100410.0
2024-09-06,95478.0,5195.0,100673.0
2024-09-09,95478.0,5180.0,100658.0
2024-09-10,95478.0,5201.0,100679.0
2024-09-11,95478.0,4791.0,100269.0
2024-09-12,95478.0,4695.0,100173.0
2024-09-13,95478.0,4651.0,100129.0
2024-09-16,95478.0,4783.0,100261.0
2024-09-17,95478.0,4563.0,100041.0
2024-09-18,95478.0,4621.0,100099.0
2024-09-19,95478.0,4271.0,99749.0
2024-09-20,95478.0,4293.0,99771.0
2024-09-23,95478.0,4185.0,99663.0
2024-09-24,95478.0,3987.0,99465.0
2024-09-25,95478.0,3878.0,99356.0
2024-09-26,95478.0,3746.0,99224.0
2024-09-27,95478.0,3785.0,99263.0
2024-09-30,99382.0,0.0,99382.0
2024-10-01,102004.0,-2487.0,99517.0
2024-10-02,102004.0,-2626.0,99378.0
2024-10-03,102004.0,-2835.0,99169.0
2024-10-04,102004.0,-3042.0,98962.0
2024-10-07,102004.0,-3019.0,98985.0
2024-10-08,102004.0,-3140.0,98864.0
2024-10-09,102004.0,-3209.0,98795.0
2024-10-10,102004.0,-3288.0,98716.0
2024-10-11,102004.0,-3077.0,98927.0
2024-10-14,102004.0,-3103.0,98901.0
2024-10-15,102004.0,-2751.0,99253.0
2024-10-16,102004.0,-2572.0,99432.0
2024-10-17,102004.0,-2691.0,99313.0
2024-10-18,102004.0,-2687.0,99317.0
2024-10-21,102004.0,-2849.0,99155.0
2024-10-22,102004.0,-3036.0,98968.0
2024-10-23,102004.0,-2736.0,99268.0
2024-10-24,102004.0,-2909.0,99095.0
2024-10-25,102004.0,-3121.0,98883.0
2024-10-28,102004.0,-3062.0,98942.0
2024-10-29,102004.0,-3380.0,98624.0
2024-10-30,102004.0,-3277.0000000000036,98727.0
2024-10-31,98957.0,0.0,98957.0
2024-11-01,98090.0,878.9999999999991,98969.0
2024-11-04,98090.0,790.9999999999982,98881.0
2024-11-05,98090.0,1046.0,99136.0
2024-11-06,98090.0,2131.0,100221.0
